dataset,token_setting,method,selection_method,run_id,layer_idx,sample_count,pairwise_available_count,pairwise_available,mean_pairwise_similarity_token_count,mean_mean_pairwise_similarity,mean_median_pairwise_similarity,mean_max_pairwise_similarity,mean_p90_pairwise_similarity,mean_similarity_above_0.80_ratio,mean_similarity_above_0.85_ratio,mean_similarity_above_0.90_ratio
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P2-L08,6,500,500,true,30.000000,0.223743,0.183402,0.999092,0.512692,0.027559,0.022855,0.020671
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P3-L05,15,500,500,true,17.000000,0.197467,0.168192,0.842235,0.387249,0.008456,0.008235,0.008162
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P3-L05,2,500,500,true,66.000000,0.287391,0.267319,0.989672,0.549984,0.006286,0.002435,0.002069
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P3-L05,6,500,500,true,30.000000,0.230266,0.224602,0.954153,0.459564,0.005481,0.005131,0.005053
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P3-L07,15,500,500,true,17.000000,0.204471,0.134447,0.984841,0.444306,0.031368,0.030485,0.030103
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P3-L07,2,500,500,true,66.000000,0.278847,0.256386,0.996319,0.544420,0.007666,0.004231,0.003719
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P3-L07,6,500,500,true,30.000000,0.215383,0.193743,0.994527,0.460813,0.014395,0.013214,0.012851
pope,64,SparseVLM-Original,topk,POPE-SPARSE-ORIG-64,15,1500,0,false,,,,,,,,
pope,64,SparseVLM-Original,topk,POPE-SPARSE-ORIG-64,2,1500,0,false,,,,,,,,
pope,64,SparseVLM-Original,topk,POPE-SPARSE-ORIG-64,6,1500,0,false,,,,,,,,
pope,64,SparseVLM-Original,topk,POPE-STAGE8-SPARSE-ORIG-64,15,500,500,true,17.000000,0.243585,0.113336,0.999233,0.747036,0.096573,0.090147,0.083721
